provider_number,network,facility_name,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,ichcahps_date,ichcahps_data_availability_code,lower_box_percent_of_patientsnephrologists_communication_an_0,middle_box_percent_of_patientsnephrologists_communication_a_1,top_box_percent_of_patientsnephrologists_communication_and__2,linearized_score_of_nephrologists_communication_and_caring,star_rating_of_nephrologists_communication_and_caring,lower_box_percent_of_patientsquality_of_dialysis_center_car_3,middle_box_percent_of_patientsquality_of_dialysis_center_ca_4,top_box_percent_of_patientsquality_of_dialysis_center_care__5,linearized_score_of_quality_of_dialysis_center_care_and_ope_6,star_rating_of_quality_of_dialysis_center_care_and_operations,lower_box_percent_of_patientsproviding_information_to_patients,top_box_percent_of_patients_providing_information_to_patients,linearized_score_of_providing_information_to_patients,star_rating_of_providing_information_to_patients,lower_box_percent_of_patientsrating_of_the_nephrologist,middle_box_percent_of_patients_rating_of_the_nephrologist,top_box_percent_of_patients_rating_of_the_nephrologist,linearized_score_of_rating_of_the_nephrologist,star_rating_of_the_nephrologist,lower_box_percent_of_patientsrating_of_the_dialysis_center__7,middle_box_percent_of_patientsrating_of_the_dialysis_center_8,top_box_percent_of_patientsrating_of_the_dialysis_center_staff,linearized_score_of_rating_of_the_dialysis_center_staff,star_rating_of_the_dialysis_center_staff,lower_box_percent_of_patientsrating_of_the_dialysis_facility,middle_box_percent_of_patientsrating_of_the_dialysis_facility,top_box_percent_of_patientsrating_of_the_dialysis_facility,linearized_score_of_rating_of_the_dialysis_facility,star_rating_of_the_dialysis_facility,total_number_of_completed_interviews_from_the_fall_and_spri_9,ich_cahps_survey_of_patients_experiences_star_rating,ichcahps_survey_response_rate
333543,2,NYU LANGONE HOSPITALS,255 WARNER AVENUE,,ROSLYN HEIGHTS,NY,11577,NASSAU,(516) 626-8355,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333555,2,NASSAU UNIVERSITY MEDICAL CENTER,A. HOLLY PATERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,NASSAU,(516) 572-1800,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,20,16,64,79,3,20,16,64,80,3,16,84,84,4,20,32,48,80,2,6,31,63,87,4,3,30,67,89,4,33,3,16
333535,2,SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,3618 OCEANSIDE ROAD,,OCEANSIDE,NY,11572,NASSAU,(516) 255-8000,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,15,18,67,83,4,11,19,70,86,5,15,85,85,4,14,19,67,87,4,5,16,79,92,5,5,9,86,94,5,83,5,41
332605,2,DAVITA GARDEN CITY DIALYSIS CENTER,1100 STEWART AVENUE,SUITE 2,GARDEN CITY,NY,11530,NASSAU,(516) 357-0004,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,9,7,84,90,5,14,17,69,83,4,19,81,81,3,6,28,66,88,4,5,25,70,91,5,8,16,76,92,5,43,4,25
332388,2,S. NASSAU COMMUNITIES HOSP.,1 HEALTHY WAY,DIALYSIS - ACUTE UNIT,OCEANSIDE,NY,11572,NASSAU,(516) 632-3944,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332610,2,"WEST NASSAU DIALYSIS CTR, INC",75 ROCKAWAY AVENUE,,VALLEY STREAM,NY,11580,NASSAU,(516) 823-4444,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,8,8,84,91,5,14,16,70,84,4,22,78,78,3,6,17,77,89,4,10,20,70,87,4,8,16,76,90,4,53,4,26
332591,2,DAVITA PORT WASHINGTON DIALYSIS CENTER,50 SEAVIEW BLVD,,PORT WASHINGTON,NY,11050,NASSAU,(516) 484-3460,Profit,Yes,DAVITA,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332592,2,DAVITA LYNBROOK DIALYSIS CENTER,147 SCRANTON AVENUE,,LYNBROOK,NY,11563,NASSAU,(516) 596-4101,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,19,18,63,79,3,18,12,70,83,4,23,77,77,2,17,20,63,84,3,7,18,75,89,4,4,8,88,91,5,33,4,26
332620,2,NEW HYDE PARK DIALYSIS CENTER,NEW HYDE PARK DIALYSIS CENTER,1574 HILLSIDE AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(516) 327-5555,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,10,13,77,88,5,12,18,70,85,5,27,73,73,1,6,18,76,89,4,6,17,77,89,4,4,19,77,91,5,81,4,36
332336,2,NYU LANGONE HOSPITALS,200 OLD COUNTRY ROAD,THE DIALYSIS CENTER,MINEOLA,NY,11501,NASSAU,(516) 663-9012,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,15,6,79,87,5,17,17,66,81,4,24,76,76,2,9,28,63,89,4,8,30,62,87,4,1,24,75,91,5,74,4,19
333522,2,NYU LANGONE HOSPITALS,530 HICKSVILLE ROAD,THE DIALYSIS CENTER @ BETHPAGE,BETHPAGE,NY,11714,NASSAU,(516) 663-4980,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,14,3,83,88,5,11,17,72,86,5,24,76,76,2,9,15,76,88,4,5,18,77,91,5,7,16,77,92,5,59,4,39
332529,2,DAVITA FREEPORT KIDNEY CENTER,351 SOUTH MAIN STREET,,FREEPORT,NY,11520,NASSAU,(516) 623-1786,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,20,25,55,77,2,16,18,66,82,4,19,81,81,3,12,41,47,85,3,0,33,67,91,5,8,29,63,87,4,31,4,29
332552,2,DAVITA OYSTER BAY DIALYSIS,17 E OLD COUNTRY ROAD,,HICKSVILLE,NY,11801,NASSAU,(516) 681-2786,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,20,14,66,80,3,18,22,60,79,3,19,81,81,3,10,22,68,87,4,11,21,68,86,4,8,22,70,89,4,44,4,25
332558,2,FRESENIUS KIDNEY CARE BELLMORE,250 PETTIT AVENUE,,BELLMORE,NY,11710,NASSAU,(516) 679-3090,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,001,16,15,69,83,4,18,25,57,78,3,37,63,63,1,10,25,65,87,4,12,32,56,83,3,13,41,46,82,2,73,3,37
332750,2,DAVITA FLORAL PARK HOME DIALYSIS (PD),1 CISNEY AVE,,FLORAL PARK,NY,11001,NASSAU,(516) 327-9502,Profit,Yes,DAVITA,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332753,2,"MAIN STREET DIALYSIS CENTER, LLC",3 NORTH MAIN STREET,,FREEPORT,NY,11520,NASSAU,(516) 771-7112,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332754,2,DAVITA JULIA AND ISRAEL WALDBAUM DIALYSIS,100 COMMUNITY DRIVE,WALDBAUM DIALYSIS CENTER,GREAT NECK,NY,11021,NASSAU,(516) 465-8250,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,17,13,70,83,4,19,19,62,80,3,26,74,74,2,14,19,67,87,4,10,23,67,85,3,11,22,67,86,3,63,3,25
332634,2,WOODMERE DIALYSIS LLC,FIVE TOWNS PREMIER NURSING AND REHABILITATION,1050 CENTRAL AVENUE,WOODMERE,NY,11598,NASSAU,(516) 791-5277,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332521,2,FRESENIUS KIDNEY CARE - HEMPSTEAD,615 PENINSULA BOULEVARD,,HEMPSTEAD,NY,11550,NASSAU,(516) 483-6702,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,001,21,19,60,78,3,22,26,52,76,2,25,75,75,2,15,26,59,84,3,11,44,45,82,3,12,43,45,82,2,43,3,24
332738,2,NEW YORK DIALYSIS SERVICES INC.,760 SOUTH BROADWAY,,HICKSVILLE,NY,11801,NASSAU,(516) 827-1370,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332765,2,"NEW YORK DIALYSIS SERVICES, INC.",185 S 10TH STREET,,LINDENHURST,NY,11757,SUFFOLK,(631) 956-6060,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332760,2,WOODMERE DIALYSIS LLC,64 COUNTY ROAD 39,,SOUTHAMPTON,NY,11968,SUFFOLK,(631) 443-2400,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333527,2,LONG ISLAND COMMUNITY HOSPITAL,109  WEST MAIN STREET,DIALYSIS SATELLITE,PATCHOGUE,NY,11772,SUFFOLK,(631) 687-2828,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,10,7,83,91,5,7,12,81,91,5,16,84,84,4,5,19,76,91,4,4,14,82,93,5,4,7,89,95,5,82,5,26
333533,2,STONY BROOK SOUTHAMPTON HOSPITAL REGIONAL DIALYSIS CENTER,184 WEST MONTAUK HGWY,,HAMPTON BAYS,NY,11946,SUFFOLK,(631) 723-4200,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332721,2,FRESENIUS KIDNEY CARE- BAY SHORE,929 SUNRISE HIGHWAY,CHRONIC DIALYSIS CTR.,BAY SHORE,NY,11706,SUFFOLK,(631) 224-8500,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,001,32,16,52,69,1,22,19,59,77,2,28,72,72,1,21,37,42,78,2,14,31,55,83,3,12,28,60,86,3,71,2,30
332310,2,HUNTINGTON HOSPITAL,270 PARK AVENUE,DIALYSIS UNIT,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2471,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332724,2,CORAM DIALYSIS CENTER,1500 MIDDLE COUNTRY ROAD,,CENTEREACH,NY,11720,SUFFOLK,(631) 716-8758,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332405,2,ST. CATHERINE OF SIENA MED. CTR,50 ROUTE 25A,DIALYSIS UNIT,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3707,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,22,18,60,77,2,15,19,66,83,4,25,75,75,2,19,31,50,79,2,16,9,75,88,4,12,5,83,92,5,40,3,24
332332,2,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7160,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332555,2,DAVITA MEDFORD KIDNEY CENTER,1725 NORTH OCEAN AVENUE,,MEDFORD,NY,11763,SUFFOLK,(631) 289-8000,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,29,18,53,73,1,20,14,66,80,3,17,83,83,4,23,35,42,78,2,6,22,72,90,4,6,19,75,90,4,48,3,40
332670,2,DAVITA LONG ISLAND RENAL CARE,3460 GREAT NECK ROAD,,AMITYVILLE,NY,11701,SUFFOLK,(631) 532-6969,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,14,15,71,85,4,17,18,65,82,4,22,78,78,3,7,32,61,87,4,11,24,65,85,3,14,24,62,85,3,71,4,28
332748,2,"NEW YORK DIALYSIS SERVICES, INC.",33 WALT WHITMAN ROAD,,HUNTINGTON STATION,NY,11746,SUFFOLK,(631) 547-4150,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332655,2,HAUPPAUGE DIALYSIS CENTER,30 CENTRAL AVENUE,,HAUPPAUGE,NY,11788,SUFFOLK,(631) 761-6605,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,001,27,18,55,73,1,27,17,56,74,2,33,67,67,1,12,18,70,83,3,13,29,58,83,3,18,19,63,81,2,33,2,32
332513,2,DAVITA HUNTINGTON ON BROADWAY DIALYSIS,256 BROADWAY,,HUNTINGTON STATION,NY,11746,SUFFOLK,(631) 423-4320,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,22,13,65,78,3,12,16,72,86,5,17,83,83,4,18,24,58,80,2,5,17,78,90,4,4,26,70,89,4,33,4,24
332752,2,DAVITA EAST ISLIP DIALYSIS,200 CARLETON AVENUE,,EAST ISLIP,NY,11730,SUFFOLK,(631) 581-0897,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,12,19,69,85,4,13,22,65,83,4,12,88,88,5,10,36,54,85,3,8,28,64,87,4,11,20,69,87,4,54,4,40
332731,2,"MILLS POND DIALYSIS CENTER, LLC",134 GREAT EAST NECK ROAD,,WEST BABYLON,NY,11704,SUFFOLK,(631) 539-5600,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332657,2,CARILLON DIALYSIS LLC,830 PARK AVENUE,,HUNTINGTON,NY,11743,SUFFOLK,(631) 630-0398,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332658,2,EAST END DIALYSIS MANAGEMENT LLC,762 HARRISON AVENUE,SOUTH BUILDING,RIVERHEAD,NY,11901,SUFFOLK,(631) 369-2005,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,17,16,67,82,4,13,18,69,84,4,27,73,73,1,26,22,52,80,2,9,31,60,87,4,4,34,62,88,4,43,3,27
332518,2,FMS-CENTRAL SUFFOLK  AKC,5225 NESCONSET HIGHWAY,UNIT #72 - BLDG.9,PT.JEFFERSN STATION,NY,11776,SUFFOLK,(631) 331-5600,Profit,Yes,FRESENIUS MEDICAL CARE,04/19/2019-01/10/2020,001,14,18,68,83,4,14,17,69,84,4,23,77,77,2,14,23,63,86,4,6,32,62,89,4,11,19,70,90,4,60,4,33
332570,2,"STONY BROOK KIDNEY CENTER, DCI",26 RESEARCH WAY,,EAST SETAUKET,NY,11733,SUFFOLK,(631) 444-0502,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",04/19/2019-01/10/2020,001,14,15,71,84,4,13,18,69,85,5,13,87,87,4,10,30,60,83,3,12,22,66,88,4,15,12,73,88,4,50,4,34
332663,2,ISLAND REHABILITATIVE SERVICES - COMMACK,68 HAUPPAUGE ROAD,,COMMACK,NY,11725,SUFFOLK,(631) 715-2740,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,25,17,58,74,2,15,16,69,83,4,41,59,59,1,27,21,52,77,1,8,21,71,89,4,7,21,72,89,4,38,3,33
