332634,2,WOODMERE DIALYSIS LLC,01/01/2016-12/31/2019,1,1,FIVE TOWNS PREMIER NURSING AND REHABILITATION,1050 CENTRAL AVENUE,WOODMERE,NY,11598,NASSAU,(516) 791-5277,Profit,No,INDEPENDENT,0,14,1,0,0,06/11/2003,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,62,1,0,1,47,1,Worse than Expected,102,94,1,,257,,259,162,862,0,,0,,1,168,901,11,185,951,1,15,27,24,23,10,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Worse than Expected,1,134,115,469,40.7,48.1,34.2,25.2,35.1,17.3,153.5,231.1,103,0,259,,,01/01/2019-12/31/2019,201,Not Available,,,,51.5,102.6,28.9,1,As Expected,194,57.7,72.9,41.5,194,967,1,33,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,42,,As Expected,1,78.5,0.2,16,8.4
332521,2,FRESENIUS KIDNEY CARE - HEMPSTEAD,01/01/2016-12/31/2019,3,1,615 PENINSULA BOULEVARD,,HEMPSTEAD,NY,11550,NASSAU,(516) 483-6702,Profit,Yes,FRESENIUS MEDICAL CARE,1,20,1,0,0,06/11/2018,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,20,1,0,1,75,1,As Expected,95,97,1,,257,,259,134,1244,0,,0,,1,138,1297,4,152,1327,1,9,20,25,29,17,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,113,137,478,19.3,24.5,14.9,31.5,44.7,21.3,197.3,300,138.3,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.25,0.82,0.04,31.5,68.7,16.4,1,As Expected,155,63,78.1,46.7,155,1372,1,10,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.74,0.01,39,0.31,As Expected,1,40.4,10,112,21.6
332738,2,NEW YORK DIALYSIS SERVICES INC.,01/01/2016-12/31/2019,5,1,760 SOUTH BROADWAY,,HICKSVILLE,NY,11801,NASSAU,(516) 827-1370,Profit,Yes,FRESENIUS MEDICAL CARE,0,14,1,1,1,06/29/2016,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,22,1,0,1,45,1,Worse than Expected,73,97,1,95,1,,259,88,736,18,133,0,,1,104,916,0,107,952,1,7,26,27,25,15,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,86,92,241,22,30.4,15.5,30.3,45.6,18.2,222.8,337.3,148.7,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.4,1.33,0.07,70.4,144.1,38.7,1,Better than Expected,94,82.8,94.9,69.8,94,821,1,5,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.2,0.7,65,1.62,As Expected,1,33.9,4.9,86,14
332765,2,"NEW YORK DIALYSIS SERVICES, INC.",01/01/2016-12/31/2019,4,1,185 S 10TH STREET,,LINDENHURST,NY,11757,SUFFOLK,(631) 956-6060,Profit,Yes,FRESENIUS MEDICAL CARE,0,18,1,0,0,07/14/2017,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,39,1,0,1,41,1,Worse than Expected,54,99,1,,257,,259,81,661,0,,0,,1,83,714,2,96,749,1,9,23,25,26,17,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,66,91,153,18.8,30.6,10.8,25.1,37.4,15.5,221.1,347.2,142.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.38,1.25,0.06,58.9,139.3,28.7,1,As Expected,97,69,84.9,52,97,766,1,10,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.94,0.01,30,0.35,As Expected,1,45.3,8.5,67,21.7
332760,2,WOODMERE DIALYSIS LLC,01/01/2016-12/31/2019,3,1,64 COUNTY ROAD 39,,SOUTHAMPTON,NY,11968,SUFFOLK,(631) 443-2400,Profit,No,INDEPENDENT,0,9,1,0,0,05/31/2017,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,71,1,0,1,14,199,Not Available,17,94,1,,257,,259,24,140,0,,0,,1,24,149,1,33,167,1,11,37,33,14,5,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,25,47,55,33,55.3,18,35,48.3,22.3,257.3,446.3,154.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.38,1.85,0.02,,,,1,As Expected,31,72.8,100,40.9,31,159,1,20,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,2,,Not Available,199,,,4,
333527,2,LONG ISLAND COMMUNITY HOSPITAL,01/01/2016-12/31/2019,4,1,109  WEST MAIN STREET,DIALYSIS SATELLITE,PATCHOGUE,NY,11772,SUFFOLK,(631) 687-2828,Non-Profit,No,INDEPENDENT,1,24,1,1,0,07/27/1998,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,7,1,0,1,128,1,Worse than Expected,153,96,1,,199,,259,200,1783,6,37,0,,1,220,2065,1,225,2089,1,9,26,29,28,7,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,180,200,761,17.6,21,14.5,31.7,41.9,21.5,188.7,261,143.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.6,1.14,0.28,34.3,61.6,21.1,1,Better than Expected,222,74.9,84.7,64.4,222,2070,1,10,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,10,,As Expected,1,34.2,10.1,154,19.4
333533,2,STONY BROOK SOUTHAMPTON HOSPITAL REGIONAL DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,184 WEST MONTAUK HGWY,,HAMPTON BAYS,NY,11946,SUFFOLK,(631) 723-4200,Non-Profit,No,INDEPENDENT,1,17,1,0,0,03/02/2000,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,18,1,0,1,39,1,As Expected,43,93,1,,257,,259,71,568,0,,0,,1,75,622,1,75,649,1,5,22,36,26,11,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,64,78,251,20.5,27.8,14.7,36,51.1,21.9,231.2,371.4,145.7,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.45,1.49,0.08,10.7,88,1.8,1,As Expected,75,78.6,94.1,62,75,644,1,15,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.99,0.42,27,1.56,As Expected,1,61.2,15.2,54,34.7
332721,2,FRESENIUS KIDNEY CARE- BAY SHORE,01/01/2016-12/31/2019,4,1,929 SUNRISE HIGHWAY,CHRONIC DIALYSIS CTR.,BAY SHORE,NY,11706,SUFFOLK,(631) 224-8500,Profit,Yes,FRESENIUS MEDICAL CARE,1,25,1,1,1,01/01/2015,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,25,1,0,1,100,1,Worse than Expected,141,98,1,84,1,,259,171,1605,13,83,0,,1,185,1800,1,188,1826,1,8,26,28,25,13,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,162,230,728,19.8,24.1,16.1,32.3,40.6,24.4,215.4,295.1,164.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.4,0.95,0.13,45.4,82.8,27.5,1,As Expected,179,70.9,82.9,58.1,179,1749,1,11,0,,259,,01/01/2016-12/31/2018,As Expected,1,2.63,0.63,69,1.39,As Expected,1,34.6,10.8,137,20.2
332310,2,HUNTINGTON HOSPITAL,01/01/2016-12/31/2019,1,1,270 PARK AVENUE,DIALYSIS UNIT,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2471,Non-Profit,No,INDEPENDENT,0,7,1,0,0,05/24/1982,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,,199,,199,9,199,Not Available,9,99,1,,257,,259,13,97,0,,0,,1,14,100,7,13,97,1,8,45,26,20,1,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,12,21,44,32.8,56.1,17.5,31.5,54.6,13.3,333.6,696,168.7,0,259,,,01/01/2019-12/31/2019,201,Not Available,,,,,,,1,As Expected,14,41.8,88.3,0,14,108,1,23,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,6,,As Expected,1,49.1,0.1,12,2.9
332724,2,CORAM DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,1500 MIDDLE COUNTRY ROAD,,CENTEREACH,NY,11720,SUFFOLK,(631) 716-8758,Profit,Yes,FRESENIUS MEDICAL CARE,0,16,1,1,0,07/17/2015,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,15,1,0,1,60,1,As Expected,73,98,1,,199,,259,103,823,5,33,0,,1,112,891,2,117,898,1,6,24,32,26,12,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,102,150,384,21.8,27.9,16.7,34.9,45.2,25.7,230.2,343.6,163.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.11,0.56,0.01,20.9,66.2,8,1,As Expected,113,58,74.8,40.1,113,901,1,24,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.47,0.58,49,1.59,As Expected,1,45.8,8.1,76,21.5
332405,2,ST. CATHERINE OF SIENA MED. CTR,01/01/2016-12/31/2019,3,1,50 ROUTE 25A,DIALYSIS UNIT,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3707,Non-Profit,No,INDEPENDENT,1,18,1,1,0,03/01/2000,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,15,1,0,1,75,1,As Expected,96,95,1,,199,,259,131,1054,2,13,0,,1,148,1222,3,156,1288,1,11,26,33,22,8,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,129,197,507,22.1,26.7,18.2,31.4,40.1,23.3,214.8,308.1,158.2,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.91,1.63,0.46,14,47.3,5.1,1,As Expected,155,65,79.4,49.6,155,1301,1,26,0,,259,,01/01/2016-12/31/2018,As Expected,1,2.18,0.07,44,0.6,As Expected,1,49.5,10.4,76,25.2
332332,2,LONG ISLAND COMMUNITY HOSPITAL,01/01/2016-12/31/2019,1,1,101 HOSPITAL ROAD,,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7160,Non-Profit,No,INDEPENDENT,1,6,1,0,0,09/11/1981,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,21,1,0,1,14,199,Not Available,32,93,1,,257,,259,36,187,0,,0,,1,42,222,0,66,294,1,18,27,25,20,10,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,Worse than Expected,1,Worse than Expected,1,45,62,173,35.1,47.5,25.3,42.3,53.7,30.6,200.6,306.6,135.3,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.15,0.72,0.01,,,,1,Worse than Expected,65,25.8,58.8,0,65,281,1,53,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.35,0.14,108,0.53,As Expected,1,61.7,0.5,41,8.3
332555,2,DAVITA MEDFORD KIDNEY CENTER,01/01/2016-12/31/2019,5,1,1725 NORTH OCEAN AVENUE,,MEDFORD,NY,11763,SUFFOLK,(631) 289-8000,Profit,Yes,DAVITA,1,10,1,1,0,10/28/1994,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,12,1,0,1,50,1,As Expected,69,100,1,,199,,259,89,727,7,41,0,,1,98,823,4,101,844,1,11,24,36,17,12,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,85,82,327,12,16.7,8.4,28.2,42,17.2,170.3,265.7,110.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.48,1.59,0.08,11.9,61,3,1,As Expected,98,69.8,86.5,51.8,98,818,1,7,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,27,,As Expected,1,43,6.6,69,18.8
332670,2,DAVITA LONG ISLAND RENAL CARE,01/01/2016-12/31/2019,3,1,3460 GREAT NECK ROAD,,AMITYVILLE,NY,11701,SUFFOLK,(631) 532-6969,Profit,Yes,DAVITA,1,24,1,1,0,10/28/2009,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,22,1,0,1,101,1,As Expected,124,96,1,91,1,,259,168,1564,12,86,0,,1,177,1708,3,183,1716,1,10,23,32,21,14,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,150,168,619,15,19.5,11.4,26.4,35.8,18.5,196.6,279.6,145.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0,0.29,,25.4,57.5,12.8,1,As Expected,177,62.5,76,48.2,177,1670,1,15,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,3.27,1.11,84,1.98,As Expected,1,40.3,13.7,138,24.7
332748,2,"NEW YORK DIALYSIS SERVICES, INC.",01/01/2016-12/31/2019,5,1,33 WALT WHITMAN ROAD,,HUNTINGTON STATION,NY,11746,SUFFOLK,(631) 547-4150,Profit,Yes,FRESENIUS MEDICAL CARE,0,26,1,1,0,08/01/2016,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,26,1,0,1,27,1,As Expected,37,96,1,,199,,259,45,388,2,5,0,,1,47,404,3,51,408,1,14,32,29,17,8,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,47,48,121,13,22.2,6.9,15.4,28.9,6.1,175.4,296,109,0,259,,,01/01/2019-12/31/2019,1,As Expected,0,1.33,,34.8,126.3,11.8,1,Better than Expected,48,83.9,100,64.8,48,418,1,8,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,18,,As Expected,1,72,10.4,29,35.3
332655,2,HAUPPAUGE DIALYSIS CENTER,01/01/2016-12/31/2019,4,1,30 CENTRAL AVENUE,,HAUPPAUGE,NY,11788,SUFFOLK,(631) 761-6605,Profit,Yes,FRESENIUS MEDICAL CARE,1,16,1,0,0,08/03/2007,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,33,1,0,1,51,1,As Expected,64,98,1,,257,,259,91,782,0,,0,,1,98,857,1,100,864,1,12,24,27,26,11,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,83,116,359,16.6,22.6,11.8,32.8,45.3,21.4,224.4,333.5,152.5,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.35,1.17,0.06,36.3,100,15.6,1,As Expected,101,68.8,85.6,50.9,101,898,1,8,0,,259,,01/01/2016-12/31/2018,As Expected,1,2.41,0.17,28,0.83,As Expected,1,35.7,4.2,68,13.5
332513,2,DAVITA HUNTINGTON ON BROADWAY DIALYSIS,01/01/2016-12/31/2019,4,1,256 BROADWAY,,HUNTINGTON STATION,NY,11746,SUFFOLK,(631) 423-4320,Profit,Yes,DAVITA,1,18,1,1,1,02/28/1983,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,16,1,0,1,58,1,As Expected,89,96,1,96,1,,259,92,744,12,82,0,,1,122,1061,2,133,1114,1,9,24,36,19,12,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,102,102,498,14.2,18.7,10.5,30.4,44.8,18,203.5,327,136,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.95,2.11,0.35,20.6,62,8.2,1,As Expected,123,70.9,85.9,54.9,123,1051,1,9,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.89,0.76,40,1.89,As Expected,1,47.5,16.5,107,29.7
332752,2,DAVITA EAST ISLIP DIALYSIS,01/01/2016-12/31/2019,4,1,200 CARLETON AVENUE,,EAST ISLIP,NY,11730,SUFFOLK,(631) 581-0897,Profit,Yes,DAVITA,0,21,1,1,0,11/04/2016,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,22,1,0,1,59,1,As Expected,84,99,1,,199,,259,111,898,7,48,0,,1,119,976,2,128,1018,1,7,23,30,23,16,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,97,126,250,16,22.4,11,35.1,49.3,22.9,209.4,324,144.5,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.85,1.78,0.35,30.6,76.2,14.3,1,As Expected,125,71.1,86.4,54.7,125,981,1,12,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,7.09,1.85,40,3.86,As Expected,1,38,7.3,93,18
332731,2,"MILLS POND DIALYSIS CENTER, LLC",01/01/2016-12/31/2019,2,1,134 GREAT EAST NECK ROAD,,WEST BABYLON,NY,11704,SUFFOLK,(631) 539-5600,Profit,No,INDEPENDENT,0,11,1,0,0,09/11/2015,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,80,1,0,1,54,1,Worse than Expected,69,94,1,,257,,259,89,729,0,,0,,1,95,797,3,96,844,1,13,32,26,21,8,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,95,146,383,24.7,30,20.1,32.6,42,24.2,177.1,259.7,122,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0,0.29,,45.6,99.3,23.8,1,As Expected,95,50.5,70.6,29.1,95,821,1,42,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.19,0.11,56,0.88,As Expected,1,57,1.4,36,11.9
332657,2,CARILLON DIALYSIS LLC,01/01/2016-12/31/2019,5,1,830 PARK AVENUE,,HUNTINGTON,NY,11743,SUFFOLK,(631) 630-0398,Profit,No,INDEPENDENT,0,8,1,0,0,09/05/2007,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,47,1,0,1,34,1,As Expected,44,99,1,,257,,259,61,452,0,,0,,1,61,457,3,68,468,1,13,26,31,23,7,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,59,71,234,15.2,20.3,11.1,29.2,41.1,19.1,143.9,239.9,90.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,1.16,3.17,0.3,42,111.5,18.6,1,As Expected,68,79.9,97.8,60.7,68,482,1,7,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,11,,As Expected,1,82.1,7.5,12,37.9
332658,2,EAST END DIALYSIS MANAGEMENT LLC,01/01/2016-12/31/2019,3,1,762 HARRISON AVENUE,SOUTH BUILDING,RIVERHEAD,NY,11901,SUFFOLK,(631) 369-2005,Profit,No,INDEPENDENT,0,24,1,0,1,11/16/2007,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,19,1,4,1,80,1,As Expected,88,94,1,,257,,259,126,1107,0,,0,,1,129,1144,0,136,1211,1,7,26,33,24,11,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,115,162,450,19.7,24.8,15.5,33,45.2,22.8,225.1,327.2,163.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.12,0.61,0.01,38.7,82.8,20.5,1,As Expected,135,66.1,81.4,49.8,135,1203,1,12,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.38,0.36,37,1.32,As Expected,1,40.3,5.2,66,16.2
332518,2,FMS-CENTRAL SUFFOLK  AKC,01/01/2016-12/31/2019,4,1,5225 NESCONSET HIGHWAY,UNIT #72 - BLDG.9,PT.JEFFERSN STATION,NY,11776,SUFFOLK,(631) 331-5600,Profit,Yes,FRESENIUS MEDICAL CARE,0,24,1,1,0,01/18/1982,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,14,1,0,1,102,1,Worse than Expected,110,99,1,97,1,,259,155,1237,11,72,0,,1,173,1395,2,179,1435,1,6,23,32,29,10,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,150,202,573,15.4,19,12.3,27.9,36.6,19.8,203.3,286.8,151.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.31,0.85,0.08,48.5,95.4,27.5,1,As Expected,173,74.1,86.2,61.2,173,1391,1,12,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.97,0.96,51,2.09,As Expected,1,45.5,13.6,109,26.6
332570,2,"STONY BROOK KIDNEY CENTER, DCI",01/01/2016-12/31/2019,5,1,26 RESEARCH WAY,,EAST SETAUKET,NY,11733,SUFFOLK,(631) 444-0502,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",1,26,1,1,0,08/06/1997,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,8,1,0,1,100,1,As Expected,106,94,1,85,1,,201,146,1217,23,197,0,,1,181,1587,1,191,1664,1,10,24,27,26,14,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,146,173,577,14.4,18.4,11,24.1,33.4,15.9,162.9,239.8,117.4,0,201,,,01/01/2019-12/31/2019,1,Better than Expected,0.23,0.77,0.04,7.1,36.5,1.8,1,As Expected,169,72.3,84.6,59.2,169,1466,1,6,0,,201,,01/01/2016-12/31/2018,As Expected,1,3.65,0.62,42,1.68,Better than Expected,1,48.5,20.6,145,33.1
332663,2,ISLAND REHABILITATIVE SERVICES - COMMACK,01/01/2016-12/31/2019,5,1,68 HAUPPAUGE ROAD,,COMMACK,NY,11725,SUFFOLK,(631) 715-2740,Profit,No,INDEPENDENT,0,12,1,0,0,01/26/2009,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,24,1,0,1,63,1,As Expected,69,98,1,,257,,259,91,770,0,,0,,1,94,803,1,95,824,1,11,32,27,20,9,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,85,115,398,14.1,17.8,11,22.1,32.2,13.9,163.4,262.1,109.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.21,1.02,0.01,36.6,86.5,17.8,1,As Expected,95,69.9,87.3,51.3,95,821,1,8,0,,259,,01/01/2016-12/31/2018,As Expected,1,5.68,0.79,37,2.43,As Expected,1,61.9,11.7,37,31.7
